image_path,class
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e0af5e0e-9cf3-449e-86f1-e033bbfc2f5f___YLCV_NREC 2599.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy\afc70f71-aaa3-4de5-9fe4-1e951fda71cc___RS_HL 6211.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\5b7a04ef-85c3-441c-9e73-94c4d2b6383d___UF.GRC_YLCV_Lab 03063.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3128ab01-a2e4-47b4-baf1-229d51d27467___YLCV_GCREC 5184.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___Apple_scab\2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG,Apple___Apple_scab
Apple___healthy\3e8eb97c-b2ad-4aeb-82ff-2f1334801c9b___RS_HL 6098.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\58e50e96-2689-4723-a412-5e37d0d49058___YLCV_GCREC 5487.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___Apple_scab\b0744c40-7396-4efb-9d0e-d7b1f22a9dd4___FREC_Scab 3407.JPG,Apple___Apple_scab
Tomato___Spider_mites Two-spotted_spider_mite\3c4379ee-ffcf-4387-bcc6-3e1bbb98c11e___Com.G_SpM_FL 9596.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Tomato_Yellow_Leaf_Curl_Virus\8937cd9a-fa6e-4289-8008-eff9c48457ab___YLCV_GCREC 2423.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\870b4923-2db1-4e01-827b-fbea6ed404cb___RS_HL 0164.JPG,Tomato___healthy
Tomato___Late_blight\d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG,Tomato___Late_blight
Tomato___healthy\db9db9c3-42af-4609-a30e-48e4797174c7___GH_HL Leaf 182.JPG,Tomato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e28c69d4-9035-4c1f-a1e5-08b969ddbb32___UF.GRC_YLCV_Lab 01740.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\4254afe0-7830-4ffa-bd0d-5d298280275c___UF.GRC_YLCV_Lab 01523.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy\3abb0d3f-f131-4025-af6d-68bd6f4d253e___RS_HL 8110.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\670f2265-a80e-49e5-8f89-d46b2cdaf304___UF.GRC_YLCV_Lab 02672.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\eee2ddaa-4d42-4251-9569-d416905490a1___YLCV_GCREC 2309.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Early_blight\d55f09eb-e463-4abd-aac6-fb144b30ead7___RS_Early.B 9004.JPG,Potato___Early_blight
Tomato___Late_blight\418ae1d4-d0b0-4bfa-9fa2-2fe0f6841487___RS_Late.B 7105.JPG,Tomato___Late_blight
Potato___Early_blight\d4f3066f-adb8-401b-a27f-19a12c336ebe___RS_Early.B 8626.JPG,Potato___Early_blight
Apple___healthy\f7f31913-51ef-481d-aacd-e6492daa74bd___RS_HL 5851.JPG,Apple___healthy
Tomato___Late_blight\7d8cbbfc-89e2-4fe5-9624-89b353d78832___RS_Late.B 5176.JPG,Tomato___Late_blight
Tomato___Target_Spot\bc240d07-16a7-4a69-9e19-18c6ac019061___Com.G_TgS_FL 9920.JPG,Tomato___Target_Spot
Tomato___Bacterial_spot\ebe3ca2e-87b3-4760-a407-c890f977fec9___GCREC_Bact.Sp 6290.JPG,Tomato___Bacterial_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\2ac22b20-1bfe-463c-b43d-006e5becb0ef___YLCV_GCREC 2508.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Leaf_Mold\9d63ab4a-2bf7-4965-b96c-5c4c28c844c0___Crnl_L.Mold 8944.JPG,Tomato___Leaf_Mold
Tomato___Spider_mites Two-spotted_spider_mite\fdd972d8-a61e-4ae6-b2ae-08c2e3db0900___Com.G_SpM_FL 8856.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Late_blight\37dacc71-848d-43bd-8bb3-85ceafb11f91___GHLB2 Leaf 8605.JPG,Tomato___Late_blight
Potato___Early_blight\9ce9c6dc-b20c-47f8-91e0-31886945c4bb___RS_Early.B 8094.JPG,Potato___Early_blight
Corn_(maize)___Northern_Leaf_Blight\0fb76874-6a95-4071-87aa-aa1bfe63f815___RS_NLB 3979.JPG,Corn_(maize)___Northern_Leaf_Blight
Apple___healthy\0bb2ddc5-d1f4-4fc2-be6b-6b63c60790df___RS_HL 7550.JPG,Apple___healthy
Tomato___Bacterial_spot\09ebe433-a21f-4ffe-9954-e3ce4347143f___UF.GRC_BS_Lab Leaf 1084.JPG,Tomato___Bacterial_spot
Tomato___Spider_mites Two-spotted_spider_mite\29c03d6f-93d8-4dbe-b2f3-456970337a46___Com.G_SpM_FL 1485.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Bacterial_spot\4ceb9395-b11a-4290-bfc4-db6afe8ad21e___UF.GRC_BS_Lab Leaf 0806.JPG,Tomato___Bacterial_spot
Corn_(maize)___healthy\74a4c1f4-26e2-4861-bcc8-16d26f215387___R.S_HL 8300 copy 2.jpg,Corn_(maize)___healthy
Apple___Cedar_apple_rust\3b1e5132-71dd-4e75-b04a-513a3851ca02___FREC_C.Rust 4439.JPG,Apple___Cedar_apple_rust
Tomato___Spider_mites Two-spotted_spider_mite\b510ecb5-48ec-4a3d-ac9d-7b19400542fd___Com.G_SpM_FL 8758.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Tomato_Yellow_Leaf_Curl_Virus\d99411f6-2658-4046-aa6f-f9fc8262c27a___YLCV_GCREC 5210.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3ae09e5f-7e7f-4e4c-8035-406142e322db___YLCV_GCREC 2924.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot\ec86d98d-7fb3-43e9-addb-3686492e5ab9___GCREC_Bact.Sp 3731.JPG,Tomato___Bacterial_spot
Corn_(maize)___healthy\e6a2fef5-35f9-4583-be40-ea0a89a43bad___R.S_HL 8128 copy 2.jpg,Corn_(maize)___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\5559cc38-c1ac-47ad-b25a-2cbb8c51df78___UF.GRC_YLCV_Lab 08502.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight\22b8de0e-636d-4407-a270-ef3614c33227___RS_Erly.B 8257.JPG,Tomato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\95d55a85-290c-4883-855d-40a125de4c80___YLCV_NREC 0092.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\249d9c1b-41fd-4831-aef3-4fa546726432___YLCV_GCREC 2314.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\5fee3101-f7de-40d2-8609-637736d8df24___Keller.St_CG 1869.JPG,Tomato___Septoria_leaf_spot
Tomato___Spider_mites Two-spotted_spider_mite\cb66e6dd-27dd-41d7-bf66-995899694885___Com.G_SpM_FL 9314.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3d6a1a02-ca2e-41d9-96b2-668293efc55d___YLCV_GCREC 2582.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\97280284-3cd9-41f9-84de-73cdcdaa2f58___UF.GRC_YLCV_Lab 01508.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Northern_Leaf_Blight\5dc9613c-fcbf-42ce-a95a-6520bf780872___RS_NLB 4225.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Target_Spot\96c75932-74b2-4571-b668-f50f1526950d___Com.G_TgS_FL 0726.JPG,Tomato___Target_Spot
Corn_(maize)___healthy\b54a855c-999d-4e7a-9e0d-9da3d66f1273___R.S_HL 5490 copy 2.jpg,Corn_(maize)___healthy
Tomato___Septoria_leaf_spot\2dd9eb69-138d-4cb6-98f6-e328c5ea25e1___Matt.S_CG 1359.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\c25a48d1-bb0a-4558-b13a-03bef17be1e3___UF.GRC_YLCV_Lab 02530.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\14f9c049-aeb8-4cfb-84a7-cd39526b8b20___RS_HL 0534.JPG,Tomato___healthy
Potato___Early_blight\5888d397-4e83-4fac-bcf7-0de778966d36___RS_Early.B 7418.JPG,Potato___Early_blight
Tomato___Bacterial_spot\482ef065-ba2f-4492-b215-9a60138a0047___GCREC_Bact.Sp 3090.JPG,Tomato___Bacterial_spot
Apple___healthy\5f83961d-85ba-4fed-9d97-dbf83c2965d9___RS_HL 6029.JPG,Apple___healthy
Corn_(maize)___Northern_Leaf_Blight\4ef8e489-cafb-4d59-9fc9-00f8087f0cac___RS_NLB 4172.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\821c7b6e-0e43-4ae4-b597-2683fbe14cf5___UF.GRC_YLCV_Lab 02034.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\4ba3269d-f8c8-4dca-8983-3d632d7abcfd___UF.GRC_YLCV_Lab 02606.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 2561.JPG,Corn_(maize)___Common_rust_
Tomato___Spider_mites Two-spotted_spider_mite\b5c3bebf-69d4-4ca3-9849-72237505c184___Com.G_SpM_FL 8563.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Early_blight\dc5fc62b-20c7-441b-bd70-aa24790302eb___RS_Erly.B 9510.JPG,Tomato___Early_blight
Tomato___Early_blight\fc38942e-e609-41a2-970c-cc1a67b16fe2___RS_Erly.B 7793.JPG,Tomato___Early_blight
Apple___Black_rot\15f31b47-61da-4549-ad60-f13ef13a6512___JR_FrgE.S 8734.JPG,Apple___Black_rot
Tomato___Spider_mites Two-spotted_spider_mite\7ea9c751-a6a5-4f57-b98f-856724ca2f19___Com.G_SpM_FL 1537.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___healthy\f5252d99-6752-457b-b430-965d545d3b41___RS_HL 0412.JPG,Tomato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\c3c9e2bf-f2d6-4c12-a619-13551e3f7340___UF.GRC_YLCV_Lab 01868.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Target_Spot\ffd1fc2d-9520-4a02-a4aa-8bed12f1d345___Com.G_TgS_FL 8178.JPG,Tomato___Target_Spot
Corn_(maize)___healthy\aaad7ba5-1d5a-4852-a39c-f4c4e91c7876___R.S_HL 8172 copy.jpg,Corn_(maize)___healthy
Tomato___Septoria_leaf_spot\2aeb1e96-7755-4378-b423-2f2116e56db6___JR_Sept.L.S 2570.JPG,Tomato___Septoria_leaf_spot
Tomato___Septoria_leaf_spot\a7c9d081-6e31-4344-bfe4-6184a6b16df8___JR_Sept.L.S 2588.JPG,Tomato___Septoria_leaf_spot
Tomato___Septoria_leaf_spot\fcbdd052-d481-4db7-ad82-f98bdfc7cc1c___Matt.S_CG 7462.JPG,Tomato___Septoria_leaf_spot
Tomato___Septoria_leaf_spot\3f310f1d-9837-4e44-ab1e-cfd22cae224b___JR_Sept.L.S 8386.JPG,Tomato___Septoria_leaf_spot
Tomato___Early_blight\5688c1fd-cd1f-4fb5-9e0b-d12c0c095023___RS_Erly.B 9511.JPG,Tomato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\247eee3b-5e7c-4c48-8d9b-a760a590e4bc___UF.GRC_YLCV_Lab 02148.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\06e94cd0-fe77-4af0-b4ae-664fcd78cfff___RS_GLSp 4656.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Apple___healthy\ea6534d4-60f0-4607-b02b-fbd25fe9a9b4___RS_HL 5681.JPG,Apple___healthy
Tomato___Bacterial_spot\e6a975f7-b2f0-4dec-b360-c944abd984da___GCREC_Bact.Sp 3249.JPG,Tomato___Bacterial_spot
Tomato___Leaf_Mold\c08002a0-531c-46b0-b580-e9419eac30af___Crnl_L.Mold 6518.JPG,Tomato___Leaf_Mold
Tomato___Tomato_Yellow_Leaf_Curl_Virus\0ea977a7-c7b3-429a-b7cf-a9656070c0a7___UF.GRC_YLCV_Lab 02249.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Late_blight\64fd9d16-28df-4dd7-9bb5-973bbd9ac6db___RS_LB 4654.JPG,Potato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\d459ddb0-d3f5-4d50-be57-ca437146f79c___YLCV_NREC 2601.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Late_blight\d2f57448-1770-46dc-97e3-40247d37094b___RS_LB 4455.JPG,Potato___Late_blight
Apple___Cedar_apple_rust\2ac8d689-f30a-4eee-a856-86c92f8dcbd2___FREC_C.Rust 3952.JPG,Apple___Cedar_apple_rust
Tomato___Late_blight\eb816984-283e-4a3b-846d-9bf24b1cce8d___GHLB_PS Leaf 37.2 Day 13.jpg,Tomato___Late_blight
Apple___Apple_scab\1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,Apple___Apple_scab
Tomato___Bacterial_spot\549bff64-9722-4193-9b44-b6069a5a4fc8___GCREC_Bact.Sp 6312.JPG,Tomato___Bacterial_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e571b56f-b93b-4132-8265-5356bb0cb704___UF.GRC_YLCV_Lab 02712.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\7f8ff945-6a8a-470b-aa5f-0b3f5ce87c01___GHLB Leaf 1.2 Day 13.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\09f556e6-ee96-4397-90c7-e491169ad065___UF.GRC_YLCV_Lab 03121.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Target_Spot\76cefc70-6454-4dd0-bd4d-fddb3d129bed___Com.G_TgS_FL 1057.JPG,Tomato___Target_Spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\be196402-8d61-4ca3-99a0-c77020d2b5c7___YLCV_GCREC 5397.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___Black_rot\1d0e83a0-f3c0-4c14-b1d6-b0ceee3552ac___JR_FrgE.S 3006.JPG,Apple___Black_rot
Tomato___Early_blight\bb843f3f-a4cd-4a42-94ff-152199d78895___RS_Erly.B 7381.JPG,Tomato___Early_blight
Tomato___Bacterial_spot\5b69f555-2033-48e7-83e7-9ff798eac600___GCREC_Bact.Sp 6395.JPG,Tomato___Bacterial_spot
Potato___Early_blight\70da76f2-b067-40f0-82d2-16b2dec3e189___RS_Early.B 8358.JPG,Potato___Early_blight
Tomato___Septoria_leaf_spot\cc24a097-d7aa-46b3-808d-d31acc19c97b___Matt.S_CG 2645.JPG,Tomato___Septoria_leaf_spot
Apple___healthy\d6aa67d8-1597-4c78-ae39-a6dcad5de6b2___RS_HL 6188.JPG,Apple___healthy
Tomato___Target_Spot\841b9730-7ea0-4cae-8735-49f057be9d11___Com.G_TgS_FL 8062.JPG,Tomato___Target_Spot
Corn_(maize)___Common_rust_\RS_Rust 1763.JPG,Corn_(maize)___Common_rust_
Apple___healthy\03d9267c-935a-487b-a27f-fa22f935b299___RS_HL 5671.JPG,Apple___healthy
Tomato___Late_blight\7aa199e5-4228-409c-84c2-8cd070af2b87___GHLB Leaf 2.1 Day 12.JPG,Tomato___Late_blight
Tomato___Septoria_leaf_spot\4dca99fe-1184-4728-874c-f902bc48f934___JR_Sept.L.S 8453.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\d9ac5df4-a936-40b7-988a-ccf9c065d1a3___UF.GRC_YLCV_Lab 01433.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\997f68ef-5b78-40e8-a2d2-a91f304cd9c5___RS_Late.B 4944.JPG,Tomato___Late_blight
Tomato___Spider_mites Two-spotted_spider_mite\757bb0c9-1ccf-421d-b849-479add7e012e___Com.G_SpM_FL 1182.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___healthy\bf3bdd27-ed83-4347-8ca0-4e7cf8530f80___R.S_HL 8333 copy.jpg,Corn_(maize)___healthy
Tomato___Target_Spot\f22b524e-5e3d-4515-ae40-0683eb629cf5___Com.G_TgS_FL 0670.JPG,Tomato___Target_Spot
Apple___healthy\4eab95ce-76ec-4bd2-9cc6-f39747569750___RS_HL 5958.JPG,Apple___healthy
Apple___Black_rot\919b43c2-b954-4a1b-a3c7-602fc1ed00e4___JR_FrgE.S 2823.JPG,Apple___Black_rot
Corn_(maize)___healthy\8afc9635-c5e3-41be-aac0-74109d6112ed___R.S_HL 0601 copy 2.jpg,Corn_(maize)___healthy
Apple___healthy\ef16aa29-f7bd-4bad-be8e-4877760a3712___RS_HL 5871.JPG,Apple___healthy
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\d7a856cb-b30e-4c26-9814-ce6ca9a9f188___RS_GLSp 4676.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Apple___Apple_scab\4d3bcf15-cc49-4189-82e1-780efdf625a8___FREC_Scab 3254.JPG,Apple___Apple_scab
Tomato___Spider_mites Two-spotted_spider_mite\aaa06a44-93d3-4a3b-bfea-b3a6c0f3a229___Com.G_SpM_FL 1731.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Potato___Late_blight\0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,Potato___Late_blight
Tomato___Spider_mites Two-spotted_spider_mite\54990f90-575c-4cfc-936d-6c898aeabc03___Com.G_SpM_FL 8948.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Septoria_leaf_spot\026c9801-8f0c-41b6-adfe-12704eafa73d___Keller.St_CG 1939.JPG,Tomato___Septoria_leaf_spot
Tomato___Bacterial_spot\431d6abc-9adb-4454-a3c6-e6b6a3ec79db___GCREC_Bact.Sp 6045.JPG,Tomato___Bacterial_spot
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\f4f3369b-f1e7-4d82-a504-f9ce40d7a997___RS_GLSp 4694.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Corn_(maize)___Northern_Leaf_Blight\b680b01a-256a-4cd9-97f0-1a52d688e82b___RS_NLB  4441.JPG,Corn_(maize)___Northern_Leaf_Blight
Apple___healthy\f1953fa5-9c15-40a5-b9cd-43341f14dc4d___RS_HL 6115.JPG,Apple___healthy
Tomato___Tomato_mosaic_virus\59e3d4c3-f6fe-4d68-82a5-d509b810b39d___PSU_CG 2303.JPG,Tomato___Tomato_mosaic_virus
Tomato___Septoria_leaf_spot\84836cba-6362-4e3b-b86c-d84f91d186ce___JR_Sept.L.S 2499.JPG,Tomato___Septoria_leaf_spot
Tomato___healthy\cc289e5c-7899-4081-9ea9-c3dc3ad3d2d4___GH_HL Leaf 408.1.JPG,Tomato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\65aba3e1-23e4-4ae4-9989-20bc005493a4___YLCV_GCREC 5319.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy\ba7aa30a-5f0c-44b6-9323-f6ced64aed63___RS_HL 7370.JPG,Apple___healthy
Potato___Early_blight\72013507-bfce-4b7a-b56e-f66a94cb4558___RS_Early.B 7930.JPG,Potato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\6b4787d4-f431-43f7-91d6-016e4ee5169f___YLCV_GCREC 2025.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\5ced2ede-33df-44e7-8063-a27ad667cd1a___RS_Late.B 6721.JPG,Tomato___Late_blight
Tomato___Septoria_leaf_spot\cde3269d-4c8f-4ea8-9b3c-e5b1d4529022___Matt.S_CG 2522.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\73e4f052-4dac-4a8c-b34f-4bcf5398fc7c___UF.GRC_YLCV_Lab 02010.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\86ed9e6c-2c17-42bd-998e-f7f9069ae9c4___Matt.S_CG 7608.JPG,Tomato___Septoria_leaf_spot
Apple___healthy\449205c0-c994-4e4f-9ea4-ef7fa45f2151___RS_HL 7730.JPG,Apple___healthy
Tomato___Target_Spot\47139cf4-a587-49f2-a935-a2d88a7bb48a___Com.G_TgS_FL 1071.JPG,Tomato___Target_Spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\f84f7acc-ed2c-4531-9594-956d0bafc579___YLCV_NREC 2711.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Target_Spot\0fe0ad25-e48a-4b91-bd06-bdd5799944e5___Com.G_TgS_FL 8351.JPG,Tomato___Target_Spot
Corn_(maize)___Northern_Leaf_Blight\ab2c2346-36e9-46ee-8762-2444560774eb___RS_NLB 3532.JPG,Corn_(maize)___Northern_Leaf_Blight
Potato___Late_blight\acf05b32-0d7e-423c-96b2-f78b6fdf975d___RS_LB 5309.JPG,Potato___Late_blight
Tomato___Target_Spot\66be5280-c3d7-4e87-8c91-d5d105abdca6___Com.G_TgS_FL 8220.JPG,Tomato___Target_Spot
Tomato___Early_blight\9664a85d-6c90-46d7-98e6-cbf1b99cc53e___RS_Erly.B 7503.JPG,Tomato___Early_blight
Tomato___Early_blight\8405be22-ecbb-4cec-a87d-e0d454b9926d___RS_Erly.B 7847.JPG,Tomato___Early_blight
Tomato___Leaf_Mold\077218cb-00b9-4bdf-b091-108a42c7a601___Crnl_L.Mold 7118.JPG,Tomato___Leaf_Mold
Apple___healthy\b78e8d44-f901-4cef-bb6b-220e229796e8___RS_HL 7468.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\cf4df483-23cf-4cff-9ff5-14d3edae4282___UF.GRC_YLCV_Lab 01927.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite\2ec0c679-521d-455f-8741-067470353fe3___Com.G_SpM_FL 8795.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Late_blight\8072e43a-7636-4c22-8641-672077964083___RS_Late.B 6464.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\eb78022e-bc77-473a-96a1-d1d9dd014e3b___UF.GRC_YLCV_Lab 01661.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite\2323078c-6ad7-4135-8310-e4bc33be299d___Com.G_SpM_FL 9647.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___Common_rust_\RS_Rust 2656.JPG,Corn_(maize)___Common_rust_
Tomato___healthy\14c040c1-d57c-43b7-9cda-74dff9e6a552___RS_HL 0241.JPG,Tomato___healthy
Corn_(maize)___Northern_Leaf_Blight\b8b9d76a-31a4-4e15-b96c-3a22a9f8c40a___RS_NLB 4231.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\5d17bf6d-7f79-4b0b-a86e-eafd30ef138a___UF.GRC_YLCV_Lab 01551.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\1afa65e8-15a9-46d4-b612-e7a7b23b10b5___RS_GLSp 7326.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Corn_(maize)___Northern_Leaf_Blight\e9c3b693-1824-41bb-803c-2730cd06f9e5___RS_NLB 4152.JPG,Corn_(maize)___Northern_Leaf_Blight
Corn_(maize)___Common_rust_\RS_Rust 1639.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___healthy\5467efda-f4ec-4f5e-94b8-8bc0fd19c7ac___R.S_HL 8148 copy.jpg,Corn_(maize)___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\eeb3aade-09a3-4310-94b0-fd594bef8493___UF.GRC_YLCV_Lab 02114.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight\10fedb70-9786-4623-a32b-97a622037511___RS_Erly.B 7796.JPG,Tomato___Early_blight
Apple___Apple_scab\84ca9b3d-80c2-476a-a3ae-c085ea721548___FREC_Scab 3132.JPG,Apple___Apple_scab
Tomato___Spider_mites Two-spotted_spider_mite\2960d2b0-5db9-4112-89f6-c7c0d2f01b97___Com.G_SpM_FL 8806.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Spider_mites Two-spotted_spider_mite\c52251d2-be10-4b22-8d88-53497d408b25___Com.G_SpM_FL 1672.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Spider_mites Two-spotted_spider_mite\dfb1508d-3c5b-420a-ac9c-919602530ef2___Com.G_SpM_FL 8695.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___Common_rust_\RS_Rust 2225.JPG,Corn_(maize)___Common_rust_
Tomato___Bacterial_spot\2c292d57-d2c0-4147-a551-618f1368f72e___GCREC_Bact.Sp 5903.JPG,Tomato___Bacterial_spot
Tomato___Spider_mites Two-spotted_spider_mite\442e4bab-52fd-4e8d-96bf-1f782facd8c6___Com.G_SpM_FL 1404.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___healthy\6376db56-3188-411e-a53a-275517e271e1___R.S_HL 7978 copy 2.jpg,Corn_(maize)___healthy
Corn_(maize)___Common_rust_\RS_Rust 2359.JPG,Corn_(maize)___Common_rust_
Apple___Apple_scab\2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG,Apple___Apple_scab
Corn_(maize)___Common_rust_\RS_Rust 2648.JPG,Corn_(maize)___Common_rust_
Tomato___Tomato_mosaic_virus\7a6e4837-d63d-465a-abae-ef857bf43e2d___PSU_CG 2117.JPG,Tomato___Tomato_mosaic_virus
Apple___healthy\594d37c6-accf-4ea8-9c97-8a9e0300010d___RS_HL 8019.JPG,Apple___healthy
Tomato___Septoria_leaf_spot\5ec061cf-53c5-40a6-84ee-e4926c264549___Matt.S_CG 1708.JPG,Tomato___Septoria_leaf_spot
Corn_(maize)___Northern_Leaf_Blight\ffbc3745-0a6d-4145-8f92-781edc626d9f___RS_NLB 4260.JPG,Corn_(maize)___Northern_Leaf_Blight
Apple___healthy\dfe47262-125f-4452-ab64-3c445b386061___RS_HL 7349.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\c63c14c5-0aea-40e5-8874-88742f2eb60e___UF.GRC_YLCV_Lab 02421.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
